Ep 120/300 | Steps:  32 | Reward:  -9.600 | ETA: 2.9 min
Ep 121/300 | Steps:  23 | Reward:  -4.200 | ETA: 2.8 min
Ep 122/300 | Steps:  18 | Reward:  -2.800 | ETA: 2.8 min
Ep 123/300 | Steps:  18 | Reward:  -2.800 | ETA: 2.8 min
Ep 124/300 | Steps:  19 | Reward:  -2.900 | ETA: 2.8 min
Ep 125/300 | Steps:  18 | Reward:  -2.800 | ETA: 2.8 min
Ep 126/300 | Steps:  18 | Reward:  -2.800 | ETA: 2.7 min
Ep 127/300 | Steps:  18 | Reward:  -2.800 | ETA: 2.7 min
Ep 128/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.7 min
Ep 129/300 | Steps:  18 | Reward:  -2.800 | ETA: 2.7 min
Ep 130/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.6 min
Ep 131/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.6 min
Ep 132/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.6 min
Ep 133/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.6 min
Ep 134/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.6 min
Ep 135/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.5 min
Ep 136/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.5 min
Ep 137/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.5 min
Ep 138/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.5 min
Ep 139/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.5 min
Ep 140/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.4 min
Ep 141/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.4 min
Ep 142/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.4 min
Ep 143/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.4 min
Ep 144/300 | Steps:  32 | Reward:  -7.800 | ETA: 2.4 min
Ep 145/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.3 min
Ep 146/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.3 min
Ep 147/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 148/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 149/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 150/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 151/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 152/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.3 min
Ep 153/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 154/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 155/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.3 min
Ep 156/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.2 min
Ep 157/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.2 min
Ep 158/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.2 min
Ep 159/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.2 min
Ep 160/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.2 min
Ep 161/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.2 min
Ep 162/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.1 min
Ep 163/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.1 min
Ep 164/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.1 min
Ep 165/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.1 min
Ep 166/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.1 min
Ep 167/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.1 min
Ep 168/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.1 min
Ep 169/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.0 min
Ep 170/300 | Steps:  16 | Reward:  -2.600 | ETA: 2.0 min
Ep 171/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.0 min
Ep 172/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.0 min
Ep 173/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.0 min
Ep 174/300 | Steps:  17 | Reward:  -2.700 | ETA: 2.0 min
Ep 175/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.9 min
Ep 176/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.9 min
Ep 177/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.9 min
Ep 178/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.9 min
Ep 179/300 | Steps:  16 | Reward:  -2.600 | ETA: 1.9 min
Ep 180/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.8 min
Ep 181/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.8 min
Ep 182/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.8 min
Ep 183/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.8 min
Ep 184/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.8 min
Ep 185/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.7 min
Ep 186/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.7 min
Ep 187/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.7 min
Ep 188/300 | Steps:  19 | Reward:  -2.900 | ETA: 1.7 min
Ep 189/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.7 min
Ep 190/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.7 min
Ep 191/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.6 min
Ep 192/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.6 min
Ep 193/300 | Steps:  19 | Reward:  -3.800 | ETA: 1.6 min
Ep 194/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.6 min
Ep 195/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.6 min
Ep 196/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.6 min
Ep 197/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.5 min
Ep 198/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.5 min
Ep 199/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.5 min
Ep 200/300 | Steps:  20 | Reward:  -4.800 | ETA: 1.5 min
Ep 201/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.5 min
Ep 202/300 | Steps:  18 | Reward:  -2.800 | ETA: 1.5 min
Ep 203/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.4 min
Ep 204/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.4 min
Ep 205/300 | Steps:  16 | Reward:  -2.600 | ETA: 1.4 min
Ep 206/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.4 min
Ep 207/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.4 min
Ep 208/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.4 min
Ep 209/300 | Steps:  22 | Reward:  -5.000 | ETA: 1.3 min
Ep 210/300 | Steps:  20 | Reward:  -4.800 | ETA: 1.3 min
Ep 211/300 | Steps:  16 | Reward:  -2.600 | ETA: 1.3 min
Ep 212/300 | Steps:  22 | Reward:  -5.000 | ETA: 1.3 min
Ep 213/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.3 min
Ep 214/300 | Steps:  20 | Reward:  -4.800 | ETA: 1.3 min
Ep 215/300 | Steps:  16 | Reward:  -2.600 | ETA: 1.2 min
Ep 216/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.2 min
Ep 217/300 | Steps:  16 | Reward:  -2.600 | ETA: 1.2 min
Ep 218/300 | Steps:  19 | Reward:  -3.800 | ETA: 1.2 min
Ep 219/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.2 min
Ep 220/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.2 min
Ep 221/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.1 min
Ep 222/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.1 min
Ep 223/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.1 min
Ep 224/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.1 min
Ep 225/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.1 min
Ep 226/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.1 min
Ep 227/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.1 min
Ep 228/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.0 min
Ep 229/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.0 min
Ep 230/300 | Steps:  19 | Reward:  -3.800 | ETA: 1.0 min
Ep 231/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.0 min
Ep 232/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.0 min
Ep 233/300 | Steps:  17 | Reward:  -2.700 | ETA: 1.0 min
Ep 234/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.9 min
Ep 235/300 | Steps:  18 | Reward:  -2.800 | ETA: 0.9 min
Ep 236/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.9 min
Ep 237/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.9 min
Ep 238/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.9 min
Ep 239/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.9 min
Ep 240/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.9 min
Ep 241/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.8 min
Ep 242/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.8 min
Ep 243/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.8 min
Ep 244/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.8 min
Ep 245/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.8 min
Ep 246/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.8 min
Ep 247/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.7 min
Ep 248/300 | Steps:  18 | Reward:  -3.700 | ETA: 0.7 min
Ep 249/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.7 min
Ep 250/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.7 min
Ep 251/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.7 min
Ep 252/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.7 min
Ep 253/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.7 min
Ep 254/300 | Steps:  18 | Reward:  -3.700 | ETA: 0.6 min
Ep 255/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.6 min
Ep 256/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.6 min
Ep 257/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.6 min
Ep 258/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.6 min
Ep 259/300 | Steps:  18 | Reward:  -2.800 | ETA: 0.6 min
Ep 260/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.6 min
Ep 261/300 | Steps:  20 | Reward:  -4.800 | ETA: 0.5 min
Ep 262/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.5 min
Ep 263/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.5 min
Ep 264/300 | Steps:  24 | Reward:  -6.100 | ETA: 0.5 min
Ep 265/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.5 min
Ep 266/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.5 min
Ep 267/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.5 min
Ep 268/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.5 min
Ep 269/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.4 min
Ep 270/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.4 min
Ep 271/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.4 min
Ep 272/300 | Steps:  19 | Reward:  -3.800 | ETA: 0.4 min
Ep 273/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.4 min
Ep 274/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.4 min
Ep 275/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.4 min
Ep 276/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.3 min
Ep 277/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.3 min
Ep 278/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.3 min
Ep 279/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.3 min
Ep 280/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.3 min
Ep 281/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.3 min
Ep 282/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.3 min
Ep 283/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.2 min
Ep 284/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.2 min
Ep 285/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.2 min
Ep 286/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.2 min
Ep 287/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.2 min
Ep 288/300 | Steps:  20 | Reward:  -3.900 | ETA: 0.2 min
Ep 289/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.2 min
Ep 290/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.1 min
Ep 291/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.1 min
Ep 292/300 | Steps:  18 | Reward:  -2.800 | ETA: 0.1 min
Ep 293/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.1 min
Ep 294/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.1 min
Ep 295/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.1 min
Ep 296/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.1 min
Ep 297/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.0 min
Ep 298/300 | Steps:  16 | Reward:  -2.600 | ETA: 0.0 min
Ep 299/300 | Steps:  28 | Reward:  -6.500 | ETA: 0.0 min
Ep 300/300 | Steps:  17 | Reward:  -2.700 | ETA: 0.0 min
